what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477921832492
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1477921832605
opened,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477921833425
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477921833572
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477921833623
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477921839952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921858123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921862124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921866131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921868554
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1477921868877
error,log,,,"Several ports (8005, 443) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477921873774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921873850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921874940
error,log,,,"Several ports (8005, 443) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477921883741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921883803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477921892096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922101529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922109869
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477922115020
error,log,,,"Port 8005 required by Tomcat v7.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922119988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922120052
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922131079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922131876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922137097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922138247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922202274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922203024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922211884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922213586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922213736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477922217024
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477922219952
error,log,,,"Several ports (8006, 8081) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922238114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922238167
error,log,,,"Several ports (8006, 8081) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922238948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922240590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922246263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922246453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477922249641
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922252207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922261461
error,log,,,"Several ports (8005, 8081) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922268796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922268849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922275987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922287130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922314571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922316128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922329688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922332691
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922334953
error,log,,,"Port 8005 required by Tomcat v7.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922337799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922337855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922351064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922358950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922367691
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922369129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922370350
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922375531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922376765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922378091
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477922378563
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922381399
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1477922383883
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1477922383900
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922388932
started,bundle,org.eclipse.datatools.connectivity,1.2.1.v201007142147,"org.eclipse.datatools.connectivity",1477922389381
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201006250003,"org.eclipse.datatools.connectivity.ui",1477922389381
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1477922389382
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1477922389404
