what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922461265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922472398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922644111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477922649416
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922653987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922666079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922669115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922670563
error,log,,,"Several ports (8005, 8080) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1477922675678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922675729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922757534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922759121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922766955
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922786472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922806434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922811814
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1477922811828
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922814071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922819217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477922822576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922822635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477922823009
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922826693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922829290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477922830530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922830557
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477922832375
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1477922832387
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1477922832390
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1477922832399
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1477922833572
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1477922834988
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1477922834990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922836061
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922837987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922838321
error,log,,,"Internal Error",1477922839529
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1477922844779
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477922844779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922844821
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922850102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922852171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922860110
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922863699
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922863713
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922866019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922866152
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1477922870853
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477922870883
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477922871085
closed,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922871085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922871214
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922871317
opened,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922874147
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922874230
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922874248
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477922880624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922882346
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477922948340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477922953565
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477922955540
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477922957389
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1477922957411
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1477922957415
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1477922957421
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1477922957423
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1477922968387
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1477922968391
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1477922968417
error,log,,,"Error opening browser",1477922971942
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1477922979527
