what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910137112
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477910138693
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910148288
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v7.0 Server at localhost (2)",1477910148385
error,log,,,"Error creating server",1477910148386
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1477910169295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910191605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910196988
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477910206592
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910207898
activated,editor,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.editor",1477910208872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910227415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910278082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910281745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910529717
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910531570
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477910557432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910560691
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1477910574256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910575106
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1477910575218
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1477910575605
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910575713
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1477910575986
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1477910576101
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910576148
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1477910633786
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1477910633823
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1477910633839
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1477910633851
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1477910637546
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1477910637573
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1477910637626
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1477910637628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1477910637782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477910735798
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477910738811
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910740610
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477910804115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910804831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477910818076
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1477910818775
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1477910822660
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910822798
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1477910834031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477910843338
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910845228
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1477910850452
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910876784
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910890400
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910908276
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910909359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477910924113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477910930032
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910930956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910932164
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477910938572
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910953397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910957737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910958209
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477910960768
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910964143
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477910966957
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477910969850
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1477910978478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910984022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477910996658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477910999196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911000642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911002144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477911003898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911005153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911008795
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477911010686
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911020900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911022300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911023357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911029148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477911033299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911040168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911044194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911044828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911045793
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1477911046960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477911056162
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477911059408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911065665
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1477911070422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911070449
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1477911072988
executed,command,,,"AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1477911083324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1477911100680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477911130220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915834786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915846121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915874514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915878402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915892345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915895804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915957144
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915961687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915969932
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1477915980403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477915985125
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1477916000261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477916000301
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1477916005582
