what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1478503468429
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1478503468563
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1478503468575
started,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1478503468610
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.core",1478503468730
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478503468748
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478503469081
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1478503469844
closed,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478503469845
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1478503474290
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478503478284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503479021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503480524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503480593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478503499064
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478503506471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478503509103
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478503514276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478503555863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503581616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503586022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503589594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478503593673
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478503614116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478503651000
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1478505441861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478505441938
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1478505443885
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478505445141
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478505445312
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478505447813
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478505447912
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478505449095
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1478505450465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478506317349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478506322615
error,log,,,"Port 8080 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1478506335679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478506335737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478506338879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478506361651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508035520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508040303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478508041314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508041348
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1478508041783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508043168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478508044078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508044112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508046953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508789320
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478508790137
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1478508794263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508796806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508809360
error,log,,,"Several ports (8005, 8080) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1478508819843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508819865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508824772
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1478508837630
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1478508837968
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1478508837979
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1478508838050
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1478508838051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508845091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1478508850110
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/test_jee",1478508850111
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478508850248
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1478508850316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478508850317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508850339
closed,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478508850385
error,log,,,"Unable to create editor ID org.eclipse.jst.jsp.core.jspsource.source: The file does not exist.",1478508850490
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478508850599
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478508850603
closed,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1478508850612
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1478508857415
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1478508857417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478508857987
