what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1478031638819
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478031638820
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1478031638820
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478031638821
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1478031638821
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1478031638822
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1478031638826
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1478031638827
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1478031638832
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1478031638833
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1478031638834
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1478031638838
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1478031638839
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1478031638841
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1478031638844
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1478031638845
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1478031638845
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1478031638845
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1478031638846
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1478031638847
os,sysinfo,,,"linux",1478031638853
arch,sysinfo,,,"x86_64",1478031638853
ws,sysinfo,,,"gtk",1478031638853
locale,sysinfo,,,"en_US",1478031638853
processors,sysinfo,,,"4",1478031638853
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478031638853
java.runtime.version,sysinfo,,,"1.8.0_101-b13",1478031638853
java.specification.name,sysinfo,,,"Java Platform API Specification",1478031638853
java.specification.vendor,sysinfo,,,"Oracle Corporation",1478031638853
java.specification.version,sysinfo,,,"1.8",1478031638853
java.vendor,sysinfo,,,"Oracle Corporation",1478031638853
java.version,sysinfo,,,"1.8.0_101",1478031638853
java.vm.info,sysinfo,,,"mixed mode",1478031638853
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1478031638853
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478031638853
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1478031638853
java.vm.specification.version,sysinfo,,,"1.8",1478031638853
java.vm.vendor,sysinfo,,,"Oracle Corporation",1478031638853
java.vm.version,sysinfo,,,"25.101-b13",1478031638853
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1478031639036
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1478031639067
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1478031639071
started,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1478031639073
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1478031639090
started,bundle,org.eclipse.jst.jsf.common,1.2.1.v20100827,"org.eclipse.jst.jsf.common",1478031639101
started,bundle,org.eclipse.jst.jsf.core,1.3.2.v20100906,"org.eclipse.jst.jsf.core",1478031639106
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1478031639143
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1478031639189
started,bundle,org.eclipse.wst.xsd.core,1.1.502.v201008201521,"org.eclipse.wst.xsd.core",1478031639193
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1478031639199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478031639807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478031670067
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1478031671803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478031674130
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v6.0 Server at localhost",1478031674534
error,log,,,"Error creating server",1478031674540
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v7.0 Server at localhost",1478031676565
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1478031682989
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v5.5 Server at localhost",1478031714858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478031732801
error,log,,,"CoreException calling delegate importConfiguration() ServerWorkingCopy Tomcat v5.0 Server at localhost",1478031784625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478172505846
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478172506334
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478172508036
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478173752946
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1478173754880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478173757577
error,log,,,"Error uncompressing runtime",1478173814585
error,log,,,"Error occurred installing server: /home/appserver/bin/catalina.sh (No such file or directory)",1478173814587
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1478173871265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478173871546
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1478173879052
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1478173879114
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1478173879124
